customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportCalls,AvgMonthlyGB,Age,Churn
CUST_00037,Male,0,No,Yes,1,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,23.27,73.77,1,8.5,38,Yes
CUST_00038,Female,0,No,Yes,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),109.14,695.32,3,0.0,57,No
CUST_00039,Male,1,Yes,Yes,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,90.81,1107.48,1,6.2,76,No
CUST_00040,Female,0,Yes,Yes,1,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Mailed check,59.07,246.27,0,33.8,25,Yes
CUST_00041,Male,0,Yes,No,13,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),62.37,974.08,1,23.5,25,No
CUST_00042,Female,0,No,Yes,23,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,94.08,2164.84,1,3.7,23,Yes
CUST_00043,Female,0,Yes,Yes,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),66.52,1408.32,2,39.4,41,No
CUST_00044,Female,0,No,No,68,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,75.98,5156.01,2,5.3,54,Yes
CUST_00045,Female,0,Yes,Yes,9,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,70.19,572.77,0,59.7,37,Yes
CUST_00046,Female,0,Yes,No,23,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),74.05,1761.29,2,69.4,57,Yes
CUST_00047,Male,0,Yes,No,35,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),34.49,1261.71,4,116.4,18,Yes
CUST_00048,Male,0,Yes,No,16,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),51.92,925.64,2,117.9,41,No
CUST_00049,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,49.67,3536.46,2,19.9,40,Yes
CUST_00050,Female,0,Yes,No,26,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,84.27,2257.65,1,34.1,53,No
CUST_00051,Male,0,No,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,48.07,594.01,0,0.0,46,No
CUST_00052,Male,0,Yes,Yes,3,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),80.35,376.83,0,4.4,57,Yes
CUST_00053,Male,0,No,Yes,41,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),70.1,2826.81,0,215.8,38,No
CUST_00054,Female,0,No,No,11,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,93.86,984.71,4,75.1,48,Yes
CUST_00055,Male,0,Yes,No,56,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Electronic check,104.25,5836.14,0,31.6,18,Yes
CUST_00056,Female,0,Yes,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,96.78,173.86,3,0.0,29,Yes
CUST_00057,Male,0,Yes,No,79,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,76.44,6061.32,0,40.4,39,No
CUST_00058,Male,0,No,No,83,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),121.89,10157.83,3,115.7,45,No
CUST_00059,Female,1,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),44.79,297.78,2,0.0,77,Yes
CUST_00060,Female,0,Yes,No,87,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),17.18,1531.11,2,120.9,24,Yes
CUST_00061,Male,0,No,No,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,101.92,1442.86,2,0.0,56,No
CUST_00062,Female,0,No,Yes,11,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),62.14,807.28,1,2.9,37,Yes
CUST_00063,Female,0,No,Yes,120,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,72.56,8707.57,4,6.9,48,No
CUST_00064,Male,0,No,No,73,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),30.79,2300.87,3,55.7,45,No
CUST_00065,Female,1,No,No,17,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,No,Electronic check,67.89,1171.16,3,1.5,68,No
CUST_00066,Male,0,No,Yes,33,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,102.23,3461.24,1,0.7,62,Yes
CUST_00067,Male,0,No,No,11,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),21.03,319.95,3,48.7,60,No
CUST_00068,Female,0,No,No,47,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),64.63,3117.35,1,195.7,42,No
CUST_00069,Male,0,Yes,No,24,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,62.77,1494.24,0,6.9,18,Yes
CUST_00070,Male,0,No,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),74.16,128.51,1,0.0,43,Yes
CUST_00071,Female,0,Yes,No,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,88.88,2266.17,0,0.0,44,No
CUST_00072,Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,44.61,122.55,0,0.0,37,Yes
CUST_00073,Female,0,Yes,No,5,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,39.12,201.34,1,80.3,43,No
CUST_00074,Male,0,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,86.28,1922.49,2,0.0,18,Yes
CUST_00075,Male,0,No,No,23,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,15.0,282.35,1,14.5,40,No
CUST_00076,Male,0,No,Yes,29,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,65.72,2002.61,1,29.7,18,Yes
CUST_00077,Female,0,Yes,No,7,No,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,70.09,471.92,1,19.8,20,No
CUST_00078,Male,0,No,No,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,70.46,302.42,3,0.0,44,Yes
CUST_00079,Female,1,No,Yes,32,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Mailed check,90.36,2787.9,1,51.9,80,No
CUST_00080,Female,0,No,Yes,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),30.04,657.01,0,0.0,42,No
CUST_00081,Male,0,No,No,4,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),49.35,138.16,2,37.2,38,Yes
CUST_00082,Female,0,Yes,Yes,12,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,74.76,888.59,3,0.0,32,No
CUST_00083,Male,0,Yes,Yes,19,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,70.19,1166.62,2,27.7,52,No
CUST_00084,Female,0,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),53.53,879.42,2,8.4,53,No
CUST_00085,Male,1,No,Yes,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,24.72,24.72,0,230.1,80,Yes
CUST_00086,Female,0,No,No,9,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),49.95,525.58,4,21.5,39,No
CUST_00087,Male,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,67.23,277.6,2,0.0,47,Yes
CUST_00088,Female,0,No,No,38,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,52.81,1963.52,1,54.7,42,No
CUST_00089,Male,0,Yes,No,50,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),74.02,3821.09,2,17.9,18,Yes
CUST_00090,Female,0,Yes,Yes,33,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),25.49,842.9,4,6.2,38,No
CUST_00091,Female,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),79.22,746.86,4,0.0,47,No
CUST_00092,Female,0,No,No,8,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,85.76,600.46,0,0.0,38,Yes
CUST_00093,Male,1,Yes,No,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),75.05,3856.3,0,0.0,67,No
CUST_00094,Male,0,No,Yes,44,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),58.25,2465.26,1,13.0,37,No
CUST_00095,Female,0,Yes,No,24,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),89.34,2185.48,1,10.0,59,Yes
CUST_00096,Male,1,Yes,No,57,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,20.53,1319.93,2,44.1,73,Yes
CUST_00097,Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),68.23,246.45,2,42.9,80,Yes
CUST_00098,Female,0,Yes,No,22,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,104.83,2255.13,3,209.5,53,No
CUST_00099,Male,1,No,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,78.1,921.39,1,0.0,80,No
CUST_00100,Female,0,No,Yes,9,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,86.31,544.68,2,66.9,38,No
CUST_00101,Male,0,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,58.48,794.17,3,0.0,22,No
CUST_00102,Male,0,No,Yes,20,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),39.57,843.07,2,4.5,40,No
CUST_00103,Female,0,Yes,No,21,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),68.96,1449.48,2,10.6,45,No
CUST_00104,Male,0,No,Yes,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,129.25,129.25,0,74.7,44,Yes
CUST_00105,Female,1,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,15.0,319.61,1,0.0,65,No
CUST_00106,Male,0,Yes,No,47,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,61.25,2931.67,2,1.3,18,No
CUST_00107,Male,0,No,No,25,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,45.68,1214.25,0,5.5,52,No
CUST_00108,Male,0,No,Yes,38,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),77.51,2840.13,1,13.9,28,No
CUST_00109,Female,0,No,Yes,42,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,76.11,3361.12,1,113.3,55,Yes
CUST_00110,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,23.26,199.72,3,23.9,29,Yes
CUST_00111,Female,0,No,Yes,23,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.15,1968.13,1,148.3,21,No
CUST_00112,Male,0,Yes,No,34,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Mailed check,89.3,3032.95,2,15.6,18,No
CUST_00113,Male,1,No,No,7,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,81.81,589.73,2,15.9,77,Yes
CUST_00114,Female,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,24.26,79.45,3,0.6,42,Yes
CUST_00115,Female,0,Yes,Yes,22,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.57,1870.1,3,2.4,48,No
CUST_00116,Male,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Electronic check,56.3,245.05,2,17.0,52,Yes
CUST_00117,Male,1,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),42.91,248.3,3,1.6,65,Yes
CUST_00118,Female,1,Yes,No,7,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,No,Mailed check,50.61,366.46,2,73.7,80,Yes
CUST_00119,Female,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,109.27,2794.5,3,0.0,44,No
CUST_00120,Female,0,No,No,21,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),46.82,958.5,1,150.0,38,No
CUST_00121,Male,0,Yes,Yes,18,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),59.34,1106.21,4,0.0,25,Yes
CUST_00122,Female,0,Yes,No,16,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),75.74,1232.62,1,123.5,54,No
CUST_00123,Male,0,No,No,85,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),59.67,5067.84,4,45.4,51,No
CUST_00124,Male,0,No,Yes,6,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),38.94,361.42,1,18.9,55,Yes
CUST_00125,Male,1,No,Yes,9,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Mailed check,69.91,716.0,2,102.0,66,No
CUST_00126,Male,0,No,No,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),67.06,173.61,5,0.0,49,No
CUST_00127,Female,1,No,No,49,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,55.93,2572.34,2,0.0,79,No
CUST_00128,Male,0,No,No,10,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),39.85,293.38,1,0.0,18,Yes
CUST_00129,Female,0,No,No,27,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),34.82,1038.44,3,236.5,18,No
CUST_00130,Male,0,No,No,6,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,69.16,464.21,2,9.7,41,Yes
CUST_00131,Male,0,Yes,Yes,36,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),51.11,1790.47,5,71.0,35,No
CUST_00132,Male,0,No,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,73.59,2022.88,1,0.0,42,No
CUST_00133,Male,1,No,Yes,20,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,88.45,1707.64,6,26.3,80,Yes
CUST_00134,Female,0,Yes,Yes,11,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),87.1,863.06,1,12.4,39,No
CUST_00135,Female,0,Yes,Yes,45,No,No phone service,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),70.59,2828.68,3,41.7,37,No
CUST_00136,Female,0,No,No,7,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),71.0,527.56,7,69.9,31,Yes
CUST_00137,Male,0,No,Yes,9,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,68.67,549.06,3,16.9,42,No
CUST_00138,Female,0,No,No,23,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),65.62,1518.16,2,75.7,52,No
CUST_00139,Male,0,No,No,18,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,No,Mailed check,54.97,979.85,2,138.4,48,No
CUST_00140,Female,0,No,Yes,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,60.34,1588.73,1,0.0,49,No
CUST_00141,Male,0,No,Yes,23,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,89.13,1993.99,1,1.1,18,Yes
CUST_00142,Male,0,Yes,Yes,9,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.14,930.67,2,292.6,50,No
CUST_00143,Female,0,Yes,No,4,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,15.0,124.86,1,57.0,23,No
CUST_00144,Female,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,59.44,1371.3,3,0.0,59,No
CUST_00145,Female,0,Yes,No,6,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),59.84,233.86,3,101.5,58,No
CUST_00146,Female,1,Yes,No,35,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,79.24,2818.32,2,1.7,66,Yes
CUST_00147,Female,0,Yes,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),82.73,3040.48,0,0.0,47,No
CUST_00148,Male,0,No,No,27,No,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,No,Credit card (automatic),31.04,806.56,1,43.6,44,Yes
CUST_00149,Female,0,No,Yes,8,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,48.68,361.79,0,24.9,57,Yes
CUST_00150,Female,0,No,Yes,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.4,457.08,3,0.0,44,No
CUST_00151,Male,0,Yes,Yes,6,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,63.81,623.05,2,19.8,30,No
CUST_00152,Female,0,No,Yes,17,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),58.82,931.75,0,4.1,44,Yes
CUST_00153,Male,0,Yes,No,20,No,No phone service,DSL,No,No,Yes,No,Yes,No,One year,No,Credit card (automatic),57.97,1258.34,1,5.5,29,No
CUST_00154,Male,0,Yes,Yes,24,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,110.3,2682.98,5,112.6,54,No
CUST_00155,Female,0,No,Yes,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,69.94,1019.29,1,0.0,64,No
CUST_00156,Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Mailed check,48.71,48.71,3,10.1,77,No
